gene_name,gene_synonym
BNIP3P29,nan
NIBAN1,FAM129A|C1orf24|NIBAN|GIG39
AC013701.1,nan
MIR3913-2,hsa-mir-3913-2
AL050303.1,nan
RNU6-252P,nan
AC138356.1,nan
CLPP,nan
AL139109.1,nan
AC270227.1,nan
CNOT6LP1,nan
TRDD3,nan
RNU6-555P,nan
AC011591.1,nan
AC023141.10,nan
RPL21P126,nan
ZSWIM1,C20orf162|dJ337O18.5
H3C5P,nan
UGT2B25P,nan
RN7SL722P,nan
UHRF1BP1,ICBP90|C6orf107|FLJ20302|dJ349A12.1
TMEM207,nan
RPL29P11,nan
ERVK3-1,HERV-K(HML6-1)
AP003355.1,nan
AC108516.2,nan
LINC02671,nan
CAMTA1-AS2,nan
TRAV1-2,nan
AC105445.1,nan
CLIC1P1,nan
AC005252.3,nan
LINC01965,nan
AC270227.2,nan
MREGP1,nan
AC007370.1,nan
AC024598.1,nan
AC126365.2,nan
MTND4P5,nan
RPS27AP14,nan
PDCD1LG2,PD-L2|CD273|bA574F11.2|PDL2|Btdc|B7-DC
AP002852.1,nan
AC060766.5,nan
AC002306.1,nan
HORMAD1,DKFZP434A1315|CT46
AL352979.4,nan
IGBP1P3,nan
UPK1A,TSPAN21
ATF4,CREB-2|TXREB|TAXREB67
AC015978.1,nan
AC097511.1,nan
CBX8,HPC3|RC1|PC3
AC074290.2,nan
KRT16P1,KRT14P
IGF2-AS,IGF2AS|PEG8|IGF2-AS1
IGLL5,nan
MTCO1P54,nan
AC068724.2,nan
AC012485.2,nan
AC093824.2,nan
AC022325.2,nan
OR13Z3P,nan
RNU6-698P,nan
MIPEP,MIP
AC010731.2,nan
CIAPIN1P,HsT2384
OR1L4,OR9-E|OR1L5
AL136171.1,nan
AL034422.1,nan
MIR5100,hsa-mir-5100
IMPDH1P10,nan
AC112230.1,nan
AC001228.3,nan
TESK1,nan
AC020913.1,nan
PIF1,C15orf20|FLJ22692
KCNC1,Kv3.1
AC091059.1,nan
OR10AC1,OR10AC1P
AL136181.1,nan
CEMIP2,TMEM2
AC243772.1,nan
AC125437.2,nan
AC096585.1,nan
SNORA17A,ACA17|SNORA17
CALM2P3,nan
EIF4BP5,nan
AC018685.2,nan
AC068305.2,nan
AF127936.1,nan
IQCM,nan
AC079248.2,nan
AC024051.9,nan
KCNA6,PPP1R96|Kv1.6|HBK2
KCNIP1-AS1,nan
YTHDF1,C20orf21|FLJ20391
RNU6-1323P,nan
AC246795.3,nan
VN1R76P,nan
CHST10,HNK-1ST
AC097459.1,nan
ARMCX6,FLJ20811|GASP10
AC025171.3,nan
AL353613.1,nan
AC010735.1,nan
AC130448.1,nan
HRH2,nan
GALR3,nan
FBF1,FLJ00103|ALB|KIAA1863|FBF-1
AC115088.1,nan
RAI2,nan
AC243899.3,nan
TET1P1,CXXC6P1
AC138894.3,nan
PCDHB7,PCDH-BETA7
AC092125.1,nan
AC012066.2,nan
TCF7L2,TCF4|TCF-4
RNASE4,RAB1
AC138907.8,nan
AC020892.1,nan
TMEM62,FLJ23375
CALR,CRT|SSA|FLJ26680|cC1qR|RO
MIR1260B,hsa-mir-1260b
AC034111.1,nan
AC231656.1,nan
CSF2RBP1,CSF2RB2
