CD,AlternativeName,gene_name,gene_synonym
CD205,,Ly75,DEC-205|CD205
CD160,,Cd160,By55
CD133,,Prom1,Prom-1|CD133|4932416E19Rik|AC133|Prom
CD80,,Cd80,Ly-53|Cd28l|B7.1|Ly53|B7-1
CD278,,,
CD62L,,Sell,Lnhr|Lyam1|LECAM-1|Lyam-1|Ly-m22|CD62L|Ly-22|L-selectin
CD11b,,Itgam,CR3|Mac-1 alpha|Mac-1|Mac-1a|CD11b/CD18|Cd11b|complement component receptor 3 alpha|CD11B  (p170)|complement receptor type 3|F730045J24Rik|Ly-40
Jagged2,,,
CD135,,Flt3,Flt-3|Flk-2|CD135|wmfl|Flk2
CD93,,Cd93,Ly68|C1qrp|AA4.1|C1qr1|6030404G09Rik
Notch4,,Notch4,Int3|N4|Int-3
Notch3,,Notch3,hpbk|N3
CD19,,Cd19,
CD59a,,Cd59a,protectin|Cd59
Tim-2,Tim2,Timd2,Tim2|TIM-2
CD339,,,
CD103,,Itgae,alpha-E1|CD103
B7-H4,B7H4,Vtcn1,B7x|B7-H4
CD45R,,,
B220,,Ptprc,T200|B220|CD45|Lyt-4|Ly-5
CD49e,,Itga5,Cd49e|Fnra
CD169,,Siglec1,Siglec-1|Sn|CD169
DR3,,Tnfrsf25,TRAMP|Wsl|Tnfrsf12|DR3|WSL-1|APO-3|TR3|LARD|WSL-LR|DDR3
TLR4,CD284,Tlr4,Lps|Rasl2-8|lipopolysaccharide response
MD2Complex,,,
CD369,,,
CD210,,,
Ly-51,Ly51,Enpep,Ly-51|6030431M22Rik|APA|Ly51|aminopeptidase-A|Bp-1/6C3
FR4,,,
Trem-like4,Tremlike4,,
CD8a,,Cd8a,Ly-35|Ly-B|Lyt-2|Ly-2
TCRVg1.1+Vg1.2,,,
CD159a,,Klrc1,NKG2B|CD159a|NKG2A
Ly-6G,Ly6G,Ly6g,Gr1|Gr-1|Ly-6G
Ly-6C,Ly6C,Ly6c1,Ly-6C|Ly6c
XCR1,,Xcr1,GPR5|XCR1|C motif-1/lymphotactin receptor|Ccxcr1
CD276,,Cd276,6030411F23Rik|B7-H3|B7RP-2|B7h3
CD150,,Slamf1,CDw150|CD150|Slam|ESTM51|IPO-3
CD130,,Il6st,gp130|D13Ertd699e|CD130|5133400A03Rik
CD178,,Fasl,CD178|Fas-L|CD95L|APT1LG1|Fasl|Tnfsf6
CD366,,,
"CD21,CD35",,,
CD226,,Cd226,DNAM-1|Pta1|TLiSA1|DNAM1
CD252,,,
CD9,,Cd9,Tspan29
CX3CR1,,Cx3cr1,
CD126,,Il6ra,Il6r|CD126|IL-6R|IL-6 receptor alpha chain
CD146,,Mcam,1-gicerin|CD146|s-endo|Muc18|s-gicerin
IFN-gRchain,IFNgRchain,,
PlexinB2,,,
CD117,,Kit,Gsfsow3|c-KIT|Steel Factor Receptor|belly-spot|SOW3|Dominant white spotting|Gsfsco5|SCO5|Tr-kit|SCO1|Gsfsco1|CD117
Mac-2,Mac2,Lgals3,L-34|gal3|galectin-3|Mac-2
CD272,,,
CD8b,,,
CD69,,Cd69,VEA|AIM|5830438K24Rik
CD98,,Slc3a2,Mdu1|Mgp-2hc|Ly-m10|Cd98|4F2HC|Ly-10
Iglightchainκ,,,
SiglecH,,Siglech,Siglec-H|6430529G09Rik
CD83,,Cd83,
CD223,,Lag3,Ly66|LAG-3|CD223
GARP,,Lrrc32,D7H11S833E|D11S833Eh|Garp|EG434215
CD254,,,
Ly108,,Slamf6,SF2000|NTB-A|KAL1|KAL1b|Ly108
DLL1,,Dll1,Delta1
IgD,,Ighd,IgD
IgM,,Ighm,Ig mu|Igh-M|Igh6|muH|IgM
CD16,,Fcgr3,CD16|Fcg receptor III|FcgammaRIII
CD32,,Fcgr2b,FcgammaRIIB|FcgRII|F630109E10Rik|Ly-17|Fcgr2|Fc gamma RIIB|Fcgr2a|CD32|Ly-m20|Fcr-2|Fc[g]RII|LyM-1|Fcr-3
CD195,,Ccr5,CD195|Cmkbr5
RAE-1g,RAE1g,,
CD253,,,
Ly-6D,Ly6D,Ly6d,Ly61|Ly-61|Thb
IL-23R,IL23R,Il23r,
CD107a,,Lamp1,Perk|CD107a|Lamp-1
CD147,,Bsg,5A11/Basigin|EMMPRIN|gp 42|HT-7|CD147|neurothelin
CD157,,Bst1,CD157|Bp3|Ly65|Bsta1|114/A10
CD64,,Fcgr1,FcgammaRI|CD64
CD301,,,
LTR,,,
CD122,,Il2rb,IL15Rbeta|Il-2Rbeta|IL-2/15Rbeta|CD122|IL-15Rbeta|IL-15 receptor beta chain
CD301b,,Mgl2,CD301b
MadCAM-1,MadCAM1,Madcam1,
CD140b,,Pdgfrb,Pdgfr|CD140b
CD198,,,
CD351,,,
MAIR-IV,MAIRIV,Cd300ld,Clm5|4732429D16Rik|Cd300ld1|MAIR-IV
CD172a,,Sirpa,SHPS-1|Bit|SIRP|P84|CD172a|Ptpns1
CD66a,,Ceacam1,CD66a|Hv2|Bgp|Cc1|Cea-7|mCEA1|mmCGM2|Cea7|Bgp1|C-CAM|Cea1|MHVR1|Hv-2|mmCGM1|Cea-1|Mhv-1
CD179a,VpreB,Vpreb1,Vpreb-1|CD179a
CD300LG,,Cd300lg,nepmucin|2310016B05Rik|Clm9|D11Ertd736e
Tim-4,Tim4,Timd4,B430010N18Rik|TIM-4|Tim4
ESAM,,Esam,W117m|2310008D05Rik
Ly-6G,Ly6G,Ly6g,Gr1|Gr-1|Ly-6G
CD54,,Icam1,Icam-1|Ly-47|MALA-2|CD54
NKG2D,,Klrk1,D6H12S2489E|Nkg2d|NKG2-D
CD11c,,Itgax,Cd11c|CD11C  (p150) alpha polypeptide
CD30,,Tnfrsf8,CD30
CD63,,Cd63,ME491|Tspan30
FcεRIa,,,
Podoplanin,,,
CD20,,Ms4a1,Ly-44|Cd20
CD94,,Klrd1,CD94
CD152,,Ctla4,Ly-56|Ctla-4|Cd152
NK-1.1,NK1.1,Klrb1c,Ly55c|Ly59|CD161|NKR-P1|Nk1|NK-RP1|Nk1.1|Nk-1.2|NK-1.1|NKR-P1C|Nkrp1-c|Ly-59|Nk-1
CD22,,Cd22,Lyb-8|Lyb8
CD71,,Tfrc,2610028K12Rik|E430033M20Rik|p90|CD71|Trfr|Mtvr-1|Mtvr1|TfR1
Galectin-9,Galectin9,Lgals9,gal-9|LGALS35|Lgals5|galectin-9
CD44,,Cd44,HERMES|Pgp-1|Ly-24
KLRG1,,Klrg1,2F1-Ag
TIGIT,,Tigit,Vstm3|ENSMUSG00000071552
CD317,,,
CD3,,Cd3e,CD3epsilon|CD3|T3e
CD6,,Cd6,
SSEA-1,SSEA1,Fut4,3-fucosyl-N-acetyl-lactosamine epitope|Ssea1|SSEA-1|FAL|LeX|FucT-IV
GL7,,,
CD28,,Cd28,
Ly-6A,Ly6A,Ly6a,Ly-6A.2|Ly-6A/E|Sca-1|Sca1|TAP|Ly-6E.1
